condition,mean_test_mse,mean_validation_mse,n,relative_test_improvement_vs_D0_percent,scale,sd_test_mse,sd_validation_mse,task,variant
recurring,0.045321086665353505,0.04071081543224864,2,0.0,M,0.029005175444923266,0.018018811118217317,prototype_switch,D0
recurring,0.024273755247122608,0.02541116615611827,2,46.440482713140455,M,0.0026373113866998586,0.008391426477029219,prototype_switch,DD-b
recurring,0.026778697007102892,0.02601165407395456,2,40.91338275969818,M,0.005590177545289797,0.0020130301468663614,prototype_switch,DD-b-staged
recurring,0.024248305962828454,0.0253596123366151,2,46.4966360099095,M,0.0027290695931118094,0.008263489049540135,prototype_switch,RF-b
recurring,0.049699587359403566,0.0488616368578126,2,0.0,S,0.00227830464084148,0.01416264640072967,prototype_switch,D0
recurring,0.0533858730768164,0.05257504613643202,2,-7.41713545980852,S,0.008216025252612495,0.009405878374147542,prototype_switch,DD-b
recurring,0.04499308639205993,0.0443184760864824,2,9.469899484896086,S,4.3672476620890446e-07,0.016555141759244524,prototype_switch,DD-b-staged
recurring,0.05325353421891729,0.05235207435519745,2,-7.150857880998665,S,0.008348837567483646,0.009405283744127992,prototype_switch,RF-b
separated,0.028266556459129788,0.03222842764080269,2,0.0,M,0.0037815676808714946,0.004186752078687598,prototype_switch,D0
separated,0.030623058395576663,0.03172136619105004,2,-8.336713882549182,M,0.00948405118396495,0.009837451376855424,prototype_switch,DD-b
separated,0.028158553337561898,0.031124398701649625,2,0.38208800468514875,M,0.003740163958678827,0.005867514952299325,prototype_switch,DD-b-staged
separated,0.030739856490981765,0.03174408010818297,2,-8.749916302780235,M,0.009582207736788155,0.009778504594906782,prototype_switch,RF-b
separated,0.07906222604215145,0.07197024244815112,2,0.0,S,0.01492117695305748,0.010673764108234087,prototype_switch,D0
separated,0.08394038503368695,0.06943197107563416,2,-6.17002484718144,S,0.0016278753109761897,0.013881600261068711,prototype_switch,DD-b
separated,0.06959665330747764,0.06372528087037305,2,11.972307394465863,S,0.020244915731981235,0.005564688777671681,prototype_switch,DD-b-staged
separated,0.0839225431283315,0.06953315087594092,2,-6.147457932172071,S,0.0014960592861396774,0.013982818969023838,prototype_switch,RF-b
recurring,0.005479086077684769,0.005380704189519747,2,0.0,M,0.0020660576580986676,0.0018459723690716257,switching_mackey_glass,D0
recurring,0.004802306757483166,0.005301991940541484,2,12.352047597098203,M,0.0016013216926662843,0.0023332005941881246,switching_mackey_glass,DD-b
recurring,0.005207178053751704,0.005518365316675045,2,4.962652896447321,M,0.001023938862032464,0.0006831428431659334,switching_mackey_glass,DD-b-staged
recurring,0.004818952688765421,0.005314751221703773,2,12.04823905957493,M,0.0015803494643214908,0.002301578750632861,switching_mackey_glass,RF-b
recurring,0.008501663734205066,0.0075139379361644386,2,0.0,S,0.0027443364706061326,0.0020882431750395432,switching_mackey_glass,D0
recurring,0.006384735717438162,0.006652552137772242,2,24.900161697172138,S,6.661093185033355e-05,0.00012139012379799558,switching_mackey_glass,DD-b
recurring,0.006069402742044379,0.006208061411355933,2,28.609235417943893,S,0.00029099983684789313,0.0002168213450536232,switching_mackey_glass,DD-b-staged
recurring,0.006432498091210922,0.006692995262953142,2,24.338361380598855,S,3.695986659673518e-05,5.073136032341156e-05,switching_mackey_glass,RF-b
separated,0.005089985565064126,0.005347046053429949,2,0.0,M,0.0030329104093858856,0.0032907243126536574,switching_mackey_glass,D0
separated,0.006678507927063038,0.006673481149846339,2,-31.20877931171302,M,0.0004276392709509735,0.0004339524696152975,switching_mackey_glass,DD-b
separated,0.0040000915723794606,0.004290767744350887,2,21.412516376575113,M,0.0009692441836396516,0.0010840030898273518,switching_mackey_glass,DD-b-staged
separated,0.006638259455939988,0.006650779566371057,2,-30.4180408978499,M,8.005953880380245e-05,9.262357891313103e-05,switching_mackey_glass,RF-b
separated,0.00846494932193309,0.009718674762795369,2,0.0,S,0.0010275512851220393,0.0012135782877532397,switching_mackey_glass,D0
separated,0.007740175650299837,0.00941948122344911,2,8.562055649350794,S,0.002093051235931679,0.0004998426792088564,switching_mackey_glass,DD-b
separated,0.0077763991119960945,0.008621452803102631,2,8.134132689405824,S,0.001910865232558385,0.00029853318540463974,switching_mackey_glass,DD-b-staged
separated,0.007815653920018425,0.009514758378888169,2,7.670399162725172,S,0.0020620575740381733,0.0005855597543301997,switching_mackey_glass,RF-b
recurring,0.4696612418629229,0.5613541866187006,2,0.0,M,0.09823422814792185,0.13532841795819303,switching_narma,D0
recurring,0.4435417817439884,0.5206356905400753,2,5.561340342952514,M,0.04772979951802548,0.06107897842014279,switching_narma,DD-b
recurring,0.43024236406199634,0.5101814849767834,2,8.393044664399092,M,0.056568817489939444,0.07374155881823731,switching_narma,DD-b-staged
recurring,0.44300611037760973,0.5201289353426546,2,5.675395180489014,M,0.047912436629874613,0.06140345679938829,switching_narma,RF-b
recurring,0.446129351357619,0.515111618489027,2,0.0,S,0.03350554970300545,0.09823080108230227,switching_narma,D0
recurring,0.44407800436019895,0.5040379373977582,2,0.4598099163790901,S,0.021232806777775837,0.08020229890267964,switching_narma,DD-b
recurring,0.4450449429452419,0.5064404528588057,2,0.243070403029333,S,0.044928102536612266,0.05815077940709132,switching_narma,DD-b-staged
