run_id,task,variant,scale,seed_index,active_parameter_count,target_active_parameters,active_capacity_match_error,padding_parameter_count,route_feature_dim,test_mse,test_nmse,test_nrmse,test_mae,test_p95_to_median_abs_error,total_seconds,fixed_component,variant_semantics,run_path
p5_pilot_controlled_prototype_P1M_D0_s0,controlled_prototype,D0,P1M,0,1001853,1000000,0.001853,0,64,0.005995719227939844,0.029577556997537613,0.17198127508163452,0.05661385878920555,2.445559501647949,1.6193681648001075,,D0,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_prototype_P1M_D0_s0
p5_pilot_controlled_prototype_P1M_D0_s1,controlled_prototype,D0,P1M,1,1001853,1000000,0.001853,0,64,0.0081767113879323,0.029561612755060196,0.17193490266799927,0.07287769764661789,2.708064556121826,1.76788094593212,,D0,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_prototype_P1M_D0_s1
p5_pilot_controlled_prototype_P1M_D0_s2,controlled_prototype,D0,P1M,2,1001853,1000000,0.001853,0,64,0.0034458849113434553,0.04079832881689072,0.20198595523834229,0.048564329743385315,2.6365387439727783,1.671804843004793,,D0,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_prototype_P1M_D0_s2
p5_pilot_controlled_prototype_P1M_DDmL_s0,controlled_prototype,DD-L,P1M,0,999801,1000000,0.000199,0,64,0.00840891432017088,0.041482120752334595,0.20367160439491272,0.06543348729610443,4.514946937561035,2.543122268980369,,DD-L,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_prototype_P1M_DDmL_s0
p5_pilot_controlled_prototype_P1M_DDmL_s1,controlled_prototype,DD-L,P1M,1,999801,1000000,0.000199,0,64,0.003568564308807254,0.01290158275514841,0.11358512938022614,0.04758581891655922,2.8674886226654053,2.2651118899229914,,DD-L,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_prototype_P1M_DDmL_s1
p5_pilot_controlled_prototype_P1M_DDmL_s2,controlled_prototype,DD-L,P1M,2,999801,1000000,0.000199,0,64,0.0037903329357504845,0.044876500964164734,0.21184074878692627,0.05291486904025078,2.0651533603668213,2.5148835168220103,,DD-L,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_prototype_P1M_DDmL_s2
p5_pilot_controlled_prototype_P1M_KCmLV_s0,controlled_prototype,KC-LV,P1M,0,999801,1000000,0.000199,0,64,0.007913936860859394,0.03904034197330475,0.1975862979888916,0.06327987462282181,4.31695032119751,2.2045930980239064,sampled_training_representation_keys,KC-LV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_prototype_P1M_KCmLV_s0
p5_pilot_controlled_prototype_P1M_KCmLV_s1,controlled_prototype,KC-LV,P1M,1,999801,1000000,0.000199,0,64,0.00597235606983304,0.021592114120721817,0.14694255590438843,0.058856770396232605,3.6621856689453125,2.431900435127318,sampled_training_representation_keys,KC-LV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_prototype_P1M_KCmLV_s1
p5_pilot_controlled_prototype_P1M_KCmLV_s2,controlled_prototype,KC-LV,P1M,2,999801,1000000,0.000199,0,64,0.0033143621403723955,0.039241135120391846,0.19809375703334808,0.04880242422223091,2.1747727394104004,2.3363162497989833,sampled_training_representation_keys,KC-LV,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_prototype_P1M_KCmLV_s2
p5_pilot_controlled_prototype_P1M_RFF_s0,controlled_prototype,RFF,P1M,0,999961,1000000,3.9e-05,0,0,0.3129315674304962,1.5437266826629639,1.242467999458313,0.4002330005168915,5.080843925476074,0.5344320680014789,random_fourier_map,RFF,/blue/uf-dsi/rvalle1/KAM/results/phase5/pilot/runs/p5_pilot_controlled_prototype_P1M_RFF_s0
