scale,variant,n,mean_test_nmse,sd_test_nmse,mean_test_nrmse,mean_active_parameter_count,max_active_capacity_match_error,mean_seconds
P1M,D0,12,0.03620511634896199,0.013608485670282706,0.18705427274107933,1001853.0,0.001853,1.716421292842521
P1M,DD-L,12,0.03654940597092112,0.015846768702572102,0.18649202895661196,999801.0,0.000199,2.4173248441463024
P1M,KC-LV,12,0.03567716494823495,0.0126667707186916,0.18591167156895003,999801.0,0.000199,2.318131219401645
P1M,RF-FULL,12,0.061788463654617466,0.02105206252213571,0.24552679310242334,999801.0,0.000199,1.4182082863602166
P1M,RF-KV,12,0.03468441621710857,0.012447829412549226,0.18303731766839823,999801.0,0.000199,2.2911835527435565
P1M,RFF,12,1.1565866023302078,0.17353567060262554,1.0728305727243423,999961.0,3.9e-05,0.5698838588626435
P250,D0,12,0.03994752668465177,0.010936253652523797,0.19816473871469498,249969.0,0.000124,1.7496886547693673
P250,DD-L,12,0.04443290876224637,0.01729899029920727,0.207458117355903,250553.0,0.002212,2.3582393878993266
P250,KC-LV,12,0.04409309724966685,0.01453076132004057,0.2074338843425115,250553.0,0.002212,2.3488451162314354
P250,RF-FULL,12,0.1022685682401061,0.04574321209991751,0.31433310732245445,250553.0,0.002212,1.4079089248164867
P250,RF-KV,12,0.04459601081907749,0.01757951318885694,0.20770723869403204,250553.0,0.002212,2.1884752944267043
P250,RFF,12,1.1712267299493153,0.1857930827422284,1.0793630679448445,249991.0,3.6e-05,0.5214485025887067
