active_parameter_count,padding_parameter_count,route_feature_dim,run_id,run_path,seed,task,test_mse,test_nmse,test_nrmse,training_protocol,variant
6737,0,64,p5_validity_controlled_prototype_iid_window_training_D0_V_s53655,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_controlled_prototype_iid_window_training_D0_V_s53655,53655,controlled_prototype,0.03915194422006607,0.8850693106651306,0.9407812356948853,iid_window_training,D0
10833,0,64,p5_validity_controlled_prototype_iid_window_training_DDmL_V_s53655,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_controlled_prototype_iid_window_training_DDmL_V_s53655,53655,controlled_prototype,0.2298649400472641,5.196329593658447,2.279545783996582,iid_window_training,DD-L
10833,0,64,p5_validity_controlled_prototype_iid_window_training_RFmFULL_V_s53655,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_controlled_prototype_iid_window_training_RFmFULL_V_s53655,53655,controlled_prototype,0.2381337583065033,5.383254528045654,2.3201842308044434,iid_window_training,RF-FULL
6737,0,64,p5_validity_controlled_prototype_ordered_stream_training_D0_V_s108002,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_controlled_prototype_ordered_stream_training_D0_V_s108002,108002,controlled_prototype,0.14825372397899628,2.9556798934936523,1.71920907497406,ordered_stream_training,D0
10833,0,64,p5_validity_controlled_prototype_ordered_stream_training_DDmL_V_s108002,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_controlled_prototype_ordered_stream_training_DDmL_V_s108002,108002,controlled_prototype,0.05370606854557991,1.0707180500030518,1.0347551107406616,ordered_stream_training,DD-L
10833,0,64,p5_validity_controlled_prototype_ordered_stream_training_RFmFULL_V_s108002,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_controlled_prototype_ordered_stream_training_RFmFULL_V_s108002,108002,controlled_prototype,0.06936666369438171,1.3829375505447388,1.1759836673736572,ordered_stream_training,RF-FULL
6737,0,64,p5_validity_controlled_symbolic_regime_language_iid_window_training_D0_V_s61223,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_controlled_symbolic_regime_language_iid_window_training_D0_V_s61223,61223,controlled_symbolic_regime_language,0.024740131571888924,0.6860983371734619,0.8283105492591858,iid_window_training,D0
10833,0,64,p5_validity_controlled_symbolic_regime_language_iid_window_training_DDmL_V_s61223,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_controlled_symbolic_regime_language_iid_window_training_DDmL_V_s61223,61223,controlled_symbolic_regime_language,0.08053452521562576,2.2333996295928955,1.4944562911987305,iid_window_training,DD-L
10833,0,64,p5_validity_controlled_symbolic_regime_language_iid_window_training_RFmFULL_V_s61223,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_controlled_symbolic_regime_language_iid_window_training_RFmFULL_V_s61223,61223,controlled_symbolic_regime_language,0.12546704709529877,3.4794774055480957,1.8653358221054077,iid_window_training,RF-FULL
6737,0,64,p5_validity_controlled_symbolic_regime_language_ordered_stream_training_D0_V_s30080,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_controlled_symbolic_regime_language_ordered_stream_training_D0_V_s30080,30080,controlled_symbolic_regime_language,0.3190632164478302,3.913403034210205,1.9782323837280273,ordered_stream_training,D0
10833,0,64,p5_validity_controlled_symbolic_regime_language_ordered_stream_training_DDmL_V_s30080,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_controlled_symbolic_regime_language_ordered_stream_training_DDmL_V_s30080,30080,controlled_symbolic_regime_language,0.10521355271339417,1.290474772453308,1.1359906196594238,ordered_stream_training,DD-L
10833,0,64,p5_validity_controlled_symbolic_regime_language_ordered_stream_training_RFmFULL_V_s30080,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_controlled_symbolic_regime_language_ordered_stream_training_RFmFULL_V_s30080,30080,controlled_symbolic_regime_language,0.14257244765758514,1.748692512512207,1.3223813772201538,ordered_stream_training,RF-FULL
6737,0,64,p5_validity_switching_mackey_glass_controlled_iid_window_training_D0_V_s51586,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_switching_mackey_glass_controlled_iid_window_training_D0_V_s51586,51586,switching_mackey_glass_controlled,0.10424743592739105,2.15887451171875,1.4693108797073364,iid_window_training,D0
10833,0,64,p5_validity_switching_mackey_glass_controlled_iid_window_training_DDmL_V_s51586,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_switching_mackey_glass_controlled_iid_window_training_DDmL_V_s51586,51586,switching_mackey_glass_controlled,0.060468290001153946,1.2522461414337158,1.1190379858016968,iid_window_training,DD-L
10833,0,64,p5_validity_switching_mackey_glass_controlled_iid_window_training_RFmFULL_V_s51586,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_switching_mackey_glass_controlled_iid_window_training_RFmFULL_V_s51586,51586,switching_mackey_glass_controlled,0.1501893401145935,3.1102917194366455,1.7636018991470337,iid_window_training,RF-FULL
6737,0,64,p5_validity_switching_mackey_glass_controlled_ordered_stream_training_D0_V_s42071,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_switching_mackey_glass_controlled_ordered_stream_training_D0_V_s42071,42071,switching_mackey_glass_controlled,0.4151988923549652,9.284690856933594,3.047079086303711,ordered_stream_training,D0
10833,0,64,p5_validity_switching_mackey_glass_controlled_ordered_stream_training_DDmL_V_s42071,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_switching_mackey_glass_controlled_ordered_stream_training_DDmL_V_s42071,42071,switching_mackey_glass_controlled,0.02472488209605217,0.5528985857963562,0.7435715198516846,ordered_stream_training,DD-L
10833,0,64,p5_validity_switching_mackey_glass_controlled_ordered_stream_training_RFmFULL_V_s42071,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_switching_mackey_glass_controlled_ordered_stream_training_RFmFULL_V_s42071,42071,switching_mackey_glass_controlled,0.03194061666727066,0.7142570614814758,0.8451372981071472,ordered_stream_training,RF-FULL
6737,0,64,p5_validity_switching_narma_controlled_iid_window_training_D0_V_s17261,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_switching_narma_controlled_iid_window_training_D0_V_s17261,17261,switching_narma_controlled,0.12269188463687897,1.4796648025512695,1.2164146900177002,iid_window_training,D0
10833,0,64,p5_validity_switching_narma_controlled_iid_window_training_DDmL_V_s17261,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_switching_narma_controlled_iid_window_training_DDmL_V_s17261,17261,switching_narma_controlled,0.15031079947948456,1.8127490282058716,1.3463836908340454,iid_window_training,DD-L
10833,0,64,p5_validity_switching_narma_controlled_iid_window_training_RFmFULL_V_s17261,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_switching_narma_controlled_iid_window_training_RFmFULL_V_s17261,17261,switching_narma_controlled,0.17385897040367126,2.0967400074005127,1.4480124711990356,iid_window_training,RF-FULL
6737,0,64,p5_validity_switching_narma_controlled_ordered_stream_training_D0_V_s28637,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_switching_narma_controlled_ordered_stream_training_D0_V_s28637,28637,switching_narma_controlled,0.029300101101398468,0.5206167101860046,0.7215377688407898,ordered_stream_training,D0
10833,0,64,p5_validity_switching_narma_controlled_ordered_stream_training_DDmL_V_s28637,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_switching_narma_controlled_ordered_stream_training_DDmL_V_s28637,28637,switching_narma_controlled,0.10515541583299637,1.8684462308883667,1.3669111728668213,ordered_stream_training,DD-L
10833,0,64,p5_validity_switching_narma_controlled_ordered_stream_training_RFmFULL_V_s28637,/blue/uf-dsi/rvalle1/KAM/results/phase5/validity_gate_v2/runs/p5_validity_switching_narma_controlled_ordered_stream_training_RFmFULL_V_s28637,28637,switching_narma_controlled,0.18394921720027924,3.2684881687164307,1.8078961372375488,ordered_stream_training,RF-FULL
